2017 9   9   10  25  6.750     73.155    151.700   1.10      QUSAVR4   
2017 9   9   10  39  6.791     73.134    142.600   2.40      RMPF8OC   
2017 9   9   11  5   6.783     73.145    146.400   2.10      9ZCGBG0   
2017 9   9   11  19  6.812     74.816    26.300    1.30      84WGCVP   
2017 9   9   11  36  5.273     73.752    135.300   1.30      5LP9LBK   
2017 9   9   12  3   6.785     73.171    139.400   1.90      X9QSMOI   
2017 9   9   13  38  6.788     73.161    148.000   1.20      PENMEYC   
2017 9   9   16  15  6.787     73.124    142.000   1.40      6IKX06V   
2017 9   9   16  40  6.824     73.120    143.800   2.20      TTGMLCH   
2017 9   9   16  56  6.773     73.138    143.100   1.50      WHSV6K6   
2017 9   9   18  22  6.840     73.300    120.300   1.60      O6LFS4Y   
2017 9   9   19  27  6.806     73.138    145.700   1.40      1D6D559   
2017 9   9   19  46  6.799     73.143    144.800   2.70      4HN8HKA   
2017 9   9   19  55  6.799     73.147    142.000   1.40      E9DBE7O   
2017 9   9   20  23  6.806     73.143    145.400   2.10      N24KBKG   
2017 9   9   21  44  7.350     73.534    111.000   1.40      EB6DSMF   
2017 9   9   22  22  6.941     76.160    0.000     1.80      P7AJC3V   
2017 9   9   22  38  6.789     73.317    127.700   1.30      QD50KWE   
2017 9   9   23  1   6.754     73.133    145.400   2.10      RR0QN22   
2017 9   9   23  11  3.747     76.681    79.000    1.20      IJN33QH   
2017 9   9   23  40  6.346     73.718    51.300    2.00      PKLR6WN   
2017 9   10  0   29  6.759     73.051    142.500   1.80      3RH9UBZ   
2017 9   10  0   29  6.758     73.051    142.600   1.80      81NV58D   
2017 9   10  0   58  5.910     74.055    87.200    1.30      Y2DDZSK   
2017 9   10  1   1   6.762     73.072    139.500   1.30      VVL65CZ   
2017 9   10  1   2   6.815     73.075    145.000   1.40      M33STK5   
2017 9   10  1   10  6.831     72.961    154.900   1.20      A3PIAC4   
2017 9   10  1   10  6.831     72.960    155.000   1.20      V9NKRWY   
2017 9   10  1   53  6.811     72.989    142.300   2.70      YBFVQIR   
2017 9   10  2   20  6.772     73.127    143.900   1.30      F4EE88J   
2017 9   10  4   20  6.798     73.163    145.600   1.60      H8K1XMV   
2017 9   10  4   20  4.901     76.089    110.200   1.60      IJVEJMV   
2017 9   10  5   22  6.676     76.262    0.000     1.30      NEXUGL6   
2017 9   10  5   24  6.788     73.104    146.700   1.60      9CILQ2F   
